Name,Record,Height,Weight
Eric Shelton,11-5-0,167,125
Chase Sherman,11-4-0,193,250
Antonina Shevchenko,6-0-0,172,125
Valentina Shevchen...,15-3-0,165,125
Anderson Silva,"34-8-0, 1NC",187,185
Claudio Silva,11-1-0,180,170
Erick Silva,"19-9-0, 1NC",182,170
Felipe Silva,8-2-0,182,155
Joaquim Silva,10-1-0,172,155
Douglas Silva de A...,"25-2-0, 1NC",170,135
Ricky Simon,10-1-0,170,135
Everett Sims,4-1-0,182,261
Arjan Singh Bhullar,7-1-0,185,245
Mitchell Sipe,4-0-0,187,245
Dennis Siver,"23-11-0, 1NC",170,145
Chas Skelly,17-2-0,180,145
Anthony Smith,30-13-0,193,205
Devonte Smith,7-1-0,172,155
Leslie Smith,10-7-1,175,135
Trevor Smith,15-8-0,190,185
Dmitrii Smoliakov,8-2-0,187,253
Louis Smolka,11-5-0,175,125
Richie Smullen,3-1-1,175,155
Peter Sobotta,17-5-1,182,170
Emiliano Sordi,16-6-0,187,205
Dmitry Sosnovskiy,10-0-0,190,240
Joe Soto,18-7-0,167,135
Andre Soukhamthath,12-6-0,175,135
Livinha Souza,11-1-0,162,115
Ronaldo Souza,"25-6-0, 1NC",185,185
Ryan Spann,10-5-0,195,205
Eric Spicely,10-5-0,185,185
Daniel Spitz,6-2-0,200,245
Daniel Spohn,16-5-0,193,206
Austin Springer,10-3-0,172,145
Georges St-Pierre,26-2-0,180,185
Cody Stamann,17-1-0,167,135
Joshua Stansbury,8-5-0,187,205
Damian Stasiak,10-6-0,165,135
Dominique Steele,14-9-0,177,170
Jeremy Stephens,28-14-0,175,145
Aljamain Sterling,14-3-0,170,135
Maia Stevenson,6-5-0,162,115
Darren Stewart,"8-3-0, 1NC",182,185
Kyle Stewart,8-0-0,182,170
Lazar  Stojadinovic,12-6-0,170,145
Darko Stosic,13-1-0,182,20
Sean Strickland,19-3-1,185,170
Stefan Struve,32-11-0,213,265
Tatiana Suarez,7-0-0,165,115
George Sullivan,"17-6-0, 1NC",182,170
Justin Sumter,6-1-0,187,185
Cub Swanson,25-8-0,172,145
Khalid Taha,12-2-0,170,145
Mairbek Taisumov,26-5-0,175,155
