,fighter1,fighter2,method,date,event,class
3125,Rousimar Palhares,David Branch,Submission,"Mar 3, 2011",UFC Live: Sanchez vs. Kampmann,Middleweight
3126,Igor Pokrajac,Todd Brown,TKO,"Mar 3, 2011",UFC Live: Sanchez vs. Kampmann,Light Heavyweight
3127,B.J. Penn,Jon Fitch,Draw,"Feb 27, 2011",UFC 127,Welterweight
3128,Michael Bisping,Jorge Rivera,TKO,"Feb 27, 2011",UFC 127,Middleweight
3129,Dennis Siver,George Sotiropoulos,Decision,"Feb 27, 2011",UFC 127,Lightweight
3130,Brian Ebersole,Chris Lytle,Decision,"Feb 27, 2011",UFC 127,Welterweight
3131,Kyle Noke,Chris Camozzi,Submission,"Feb 27, 2011",UFC 127,Middleweight
3132,Ross Pearson,Spencer Fisher,Decision,"Feb 27, 2011",UFC 127,Lightweight
3133,Alexander Gustafsson,James Te Huna,Submission,"Feb 27, 2011",UFC 127,Light Heavyweight
3134,Nick Ring,Riki Fukuda,Decision,"Feb 27, 2011",UFC 127,Middleweight
3135,Anthony Perosh,Tom Blackledge,Submission,"Feb 27, 2011",UFC 127,Light Heavyweight
3136,Zhang Tiequan,Jason Reinhardt,Submission,"Feb 27, 2011",UFC 127,Featherweight
3137,Mark Hunt,Chris Tuchscherer,KO,"Feb 27, 2011",UFC 127,Heavyweight
3138,Curt Warburton,Maciej Jewtuszko,Decision,"Feb 27, 2011",UFC 127,Lightweight
3139,Anderson Silva (c),Vitor Belfort,KO,"Feb 5, 2011",UFC 126,Middleweight
3140,Forrest Griffin,Rich Franklin,Decision,"Feb 5, 2011",UFC 126,Light Heavyweight
3141,Jon Jones,Ryan Bader,Submission,"Feb 5, 2011",UFC 126,Light Heavyweight
3142,Jake Ellenberger,Carlos Eduardo Rocha,Decision,"Feb 5, 2011",UFC 126,Welterweight
3143,Miguel Torres,Antonio Banuelos,Decision,"Feb 5, 2011",UFC 126,Bantamweight
3144,Donald Cerrone,Paul Kelly,Submission,"Feb 5, 2011",UFC 126,Lightweight
3145,Chad Mendes,Michihiro Omigawa,Decision,"Feb 5, 2011",UFC 126,Featherweight
3146,Demetrious Johnson,Norifumi Yamamoto,Decision,"Feb 5, 2011",UFC 126,Bantamweight
3147,Paul Taylor,Gabe Ruediger,KO,"Feb 5, 2011",UFC 126,Lightweight
3148,Kyle Kingsbury,Ricardo Romero,TKO,"Feb 5, 2011",UFC 126,Light Heavyweight
3149,Mike Pierce,Kenny Robertson,KO,"Feb 5, 2011",UFC 126,Welterweight
3150,Melvin Guillard,Evan Dunham,TKO,"Jan 22, 2011",UFC: Fight for the Troops 2,Lightweight
3151,Matt Mitrione,Tim Hague,TKO,"Jan 22, 2011",UFC: Fight for the Troops 2,Heavyweight
3152,Mark Hominick,George Roop,TKO,"Jan 22, 2011",UFC: Fight for the Troops 2,Featherweight
3153,Pat Barry,Joey Beltran,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Heavyweight
3154,Matt Wiman,Cole Miller,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Lightweight
3155,Yves Edwards,Cody McKenzie,Technical Submission,"Jan 22, 2011",UFC: Fight for the Troops 2,Lightweight
3156,DaMarques Johnson,Mike Guymon,Submission,"Jan 22, 2011",UFC: Fight for the Troops 2,Welterweight
3157,Rani Yahya,Mike Brown,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Featherweight
3158,Waylon Lowe,Willamy Freire,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Lightweight
3159,Charlie Brenneman,Amilcar Alves,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Welterweight
3160,Chris Cariaso,Will Campuzano,Decision,"Jan 22, 2011",UFC: Fight for the Troops 2,Bantamweight
3161,Frankie Edgar (c),Gray Maynard,Draw,"Jan 1, 2011",UFC 125,Lightweight
3162,Brian Stann,Chris Leben,TKO,"Jan 1, 2011",UFC 125,Middleweight
3163,Thiago Silva,Brandon Vera,No Contest,"Jan 1, 2011",UFC 125,Light Heavyweight
3164,Dong Hyun Kim,Nate Diaz,Decision,"Jan 1, 2011",UFC 125,Welterweight
3165,Clay Guida,Takanori Gomi,Submission,"Jan 1, 2011",UFC 125,Lightweight
3166,Jeremy Stephens,Marcus Davis,KO,"Jan 1, 2011",UFC 125,Lightweight
3167,Dustin Poirier,Josh Grispi,Decision,"Jan 1, 2011",UFC 125,Featherweight
3168,Brad Tavares,Phil Baroni,KO,"Jan 1, 2011",UFC 125,Middleweight
3169,Diego Nunes,Mike Brown,Decision,"Jan 1, 2011",UFC 125,Featherweight
3170,Daniel Roberts,Greg Soto,Submission,"Jan 1, 2011",UFC 125,Welterweight
3171,Jacob Volkmann,Antonio McKee,Decision,"Jan 1, 2011",UFC 125,Lightweight
3172,Georges St-Pierre (c),Josh Koscheck,Decision,"Dec 11, 2010",UFC 124,Welterweight
3173,Stefan Struve,Sean McCorkle,TKO,"Dec 11, 2010",UFC 124,Heavyweight
3174,Jim Miller,Charles Oliveira,Submission,"Dec 11, 2010",UFC 124,Lightweight
3175,Mac Danzig,Joe Stevenson,KO,"Dec 11, 2010",UFC 124,Lightweight
3176,Thiago Alves,John Howard,Decision,"Dec 11, 2010",UFC 124,Welterweight
3177,Dan Miller,Joe Doerksen,Decision,"Dec 11, 2010",UFC 124,Middleweight
3178,Mark Bocek,Dustin Hazelett,Submission,"Dec 11, 2010",UFC 124,Lightweight
3179,Rafael Natal,Jesse Bongfeldt,Draw,"Dec 11, 2010",UFC 124,Middleweight
3180,Sean Pierson,Matthew Riddle,Decision,"Dec 11, 2010",UFC 124,Welterweight
3181,Ricardo Almeida,TJ Grant,Decision,"Dec 11, 2010",UFC 124,Welterweight
3182,John Makdessi,Pat Audinwood,Decision,"Dec 11, 2010",UFC 124,Lightweight
3183,Jonathan Brookins,Michael Johnson,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Lightweight
3184,Stephan Bonnar,Igor Pokrajac,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Light Heavyweight
3185,Demian Maia,Kendall Grove,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Middleweight
3186,Rick Story,Johny Hendricks,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Welterweight
3187,Leonard Garcia,Nam Phan,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Featherweight
3188,Cody McKenzie,Aaron Wilkinson,Submission,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Lightweight
3189,Ian Loveland,Tyler Toner,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Featherweight
3190,Kyle Watson,Sako Chivitchian,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Lightweight
3191,Nick Pace,Will Campuzano,Submission,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Catchweight
3192,Pablo Garza,Fredson Paixão,KO,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Featherweight
3193,David Branch,Rich Attonito,Decision,"Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Middleweight
3194,Quinton Jackson,Lyoto Machida,Decision,"Nov 20, 2010",UFC 123,Light Heavyweight
3195,B.J. Penn,Matt Hughes,KO,"Nov 20, 2010",UFC 123,Welterweight
3196,Maiquel Falcão,Gerald Harris,Decision,"Nov 20, 2010",UFC 123,Middleweight
3197,Phil Davis,Tim Boetsch,Submission,"Nov 20, 2010",UFC 123,Light Heavyweight
3198,George Sotiropoulos,Joe Lauzon,Submission,"Nov 20, 2010",UFC 123,Lightweight
3199,Brian Foster,Matt Brown,Submission,"Nov 20, 2010",UFC 123,Welterweight
3200,Mark Muñoz,Aaron Simpson,Decision,"Nov 20, 2010",UFC 123,Middleweight
3201,Dennis Hallman,Karo Parisyan,TKO,"Nov 20, 2010",UFC 123,Welterweight
3202,Edson Barboza,Mike Lullo,TKO,"Nov 20, 2010",UFC 123,Lightweight
3203,Paul Kelly,T.J. O'Brien,TKO,"Nov 20, 2010",UFC 123,Lightweight
3204,Nik Lentz,Tyson Griffin,Decision,"Nov 20, 2010",UFC 123,Lightweight
3205,Yushin Okami,Nate Marquardt,Decision,"Nov 13, 2010",UFC 122,Middleweight
3206,Dennis Siver,Andre Winner,Submission,"Nov 13, 2010",UFC 122,Lightweight
3207,Amir Sadollah,Peter Sobotta,Decision,"Nov 13, 2010",UFC 122,Welterweight
3208,Krzysztof Soszynski,Goran Reljic,Decision,"Nov 13, 2010",UFC 122,Light Heavyweight
3209,Duane Ludwig,Nick Osipczak,Decision,"Nov 13, 2010",UFC 122,Welterweight
3210,Vladimir Matyushenko,Alexandre Ferreira,TKO,"Nov 13, 2010",UFC 122,Light Heavyweight
3211,Pascal Krauss,Mark Scanlon,Decision,"Nov 13, 2010",UFC 122,Welterweight
3212,Kyle Noke,Rob Kimmons,Submission,"Nov 13, 2010",UFC 122,Middleweight
3213,Karlos Vemola,Seth Petruzelli,TKO,"Nov 13, 2010",UFC 122,Light Heavyweight
3214,Carlos Eduardo Rocha,Kris McCray,Submission,"Nov 13, 2010",UFC 122,Welterweight
3215,Cain Velasquez,Brock Lesnar (c),TKO,"Oct 23, 2010",UFC 121,Heavyweight
3216,Jake Shields,Martin Kampmann,Decision,"Oct 23, 2010",UFC 121,Welterweight
3217,Diego Sanchez,Paulo Thiago,Decision,"Oct 23, 2010",UFC 121,Welterweight
3218,Matt Hamill,Tito Ortiz,Decision,"Oct 23, 2010",UFC 121,Light Heavyweight
3219,Brendan Schaub,Gabriel Gonzaga,Decision,"Oct 23, 2010",UFC 121,Heavyweight
3220,Court McGee,Ryan Jensen,Submission,"Oct 23, 2010",UFC 121,Middleweight
3221,Tom Lawlor,Patrick Côté,Decision,"Oct 23, 2010",UFC 121,Middleweight
3222,Daniel Roberts,Mike Guymon,Submission,"Oct 23, 2010",UFC 121,Welterweight
3223,Sam Stout,Paul Taylor,Decision,"Oct 23, 2010",UFC 121,Lightweight
3224,Chris Camozzi,Dongi Yang,Decision,"Oct 23, 2010",UFC 121,Middleweight
3225,Jon Madsen,Gilbert Yvel,TKO,"Oct 23, 2010",UFC 121,Heavyweight
3226,Michael Bisping,Yoshihiro Akiyama,Decision,"Oct 16, 2010",UFC 120,Middleweight
3227,Carlos Condit,Dan Hardy,KO,"Oct 16, 2010",UFC 120,Welterweight
3228,Mike Pyle,John Hathaway,Decision,"Oct 16, 2010",UFC 120,Welterweight
3229,Cheick Kongo,Travis Browne,Draw,"Oct 16, 2010",UFC 120,Heavyweight
3230,Claude Patrick,James Wilks,Decision,"Oct 16, 2010",UFC 120,Welterweight
3231,Alexander Gustafsson,Cyrille Diabaté,Submission,"Oct 16, 2010",UFC 120,Light Heavyweight
3232,Rob Broughton,Vinicius Queiroz,Submission,"Oct 16, 2010",UFC 120,Heavyweight
3233,Paul Sass,Mark Holst,Submission,"Oct 16, 2010",UFC 120,Lightweight
3234,Spencer Fisher,Curt Warburton,Decision,"Oct 16, 2010",UFC 120,Lightweight
3235,Fabio Maldonado,James McSweeney,TKO,"Oct 16, 2010",UFC 120,Light Heavyweight
3236,Frank Mir,Mirko Cro Cop,KO,"Sep 25, 2010",UFC 119,Heavyweight
3237,Ryan Bader,Antônio Rogério Nogueira,Decision,"Sep 25, 2010",UFC 119,Light Heavyweight
3238,Chris Lytle,Matt Serra,Decision,"Sep 25, 2010",UFC 119,Welterweight
3239,Sean Sherk,Evan Dunham,Decision,"Sep 25, 2010",UFC 119,Lightweight
3240,Melvin Guillard,Jeremy Stephens,Decision,"Sep 25, 2010",UFC 119,Lightweight
3241,C.B. Dollaway,Joe Doerksen,Submission,"Sep 25, 2010",UFC 119,Middleweight
3242,Matt Mitrione,Joey Beltran,Decision,"Sep 25, 2010",UFC 119,Heavyweight
3243,Thiago Tavares,Pat Audinwood,Submission,"Sep 25, 2010",UFC 119,Lightweight
3244,Waylon Lowe,Steve Lopez,Decision,"Sep 25, 2010",UFC 119,Lightweight
3245,TJ Grant,Julio Paulino,Decision,"Sep 25, 2010",UFC 119,Welterweight
3246,Sean McCorkle,Mark Hunt,Submission,"Sep 25, 2010",UFC 119,Heavyweight
3247,Nate Marquardt,Rousimar Palhares,TKO,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Middleweight
3248,Charles Oliveira,Efrain Escudero,Submission,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Catchweight
3249,Jim Miller,Gleison Tibau,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Lightweight
3250,Cole Miller,Ross Pearson,Submission,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Lightweight
3251,Yves Edwards,John Gunderson,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Lightweight
3252,Kyle Kingsbury,Jared Hamman,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Light Heavyweight
3253,David Branch,Tomasz Drwal,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Middleweight
3254,Rich Attonito,Rafael Natal,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Middleweight
3255,TJ Waldburger,David Mitchell,Decision,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Welterweight
3256,Brian Foster,Forrest Petz,TKO,"Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares,Welterweight
3257,Frankie Edgar (c),B.J. Penn,Decision,"Aug 28, 2010",UFC 118,Lightweight
3258,Randy Couture,James Toney,Submission,"Aug 28, 2010",UFC 118,Heavyweight
3259,Demian Maia,Mario Miranda,Decision,"Aug 28, 2010",UFC 118,Middleweight
3260,Gray Maynard,Kenny Florian,Decision,"Aug 28, 2010",UFC 118,Lightweight
3261,Nate Diaz,Marcus Davis,Technical Submission,"Aug 28, 2010",UFC 118,Welterweight
3262,Joe Lauzon,Gabe Ruediger,Submission,"Aug 28, 2010",UFC 118,Lightweight
3263,Nik Lentz,Andre Winner,Decision,"Aug 28, 2010",UFC 118,Lightweight
3264,Dan Miller,John Salter,Submission,"Aug 28, 2010",UFC 118,Middleweight
3265,Greg Soto,Nick Osipczak,Decision,"Aug 28, 2010",UFC 118,Welterweight
3266,Mike Pierce,Amilcar Alves,Submission,"Aug 28, 2010",UFC 118,Welterweight
3267,Anderson Silva (c),Chael Sonnen,Submission,"Aug 7, 2010",UFC 117,Middleweight
3268,Jon Fitch,Thiago Alves,Decision,"Aug 7, 2010",UFC 117,Catchweight
3269,Clay Guida,Rafael dos Anjos,Submission,"Aug 7, 2010",UFC 117,Lightweight
3270,Matt Hughes,Ricardo Almeida,Technical Submission,"Aug 7, 2010",UFC 117,Welterweight
3271,Junior dos Santos,Roy Nelson,Decision,"Aug 7, 2010",UFC 117,Heavyweight
3272,Rick Story,Dustin Hazelett,TKO,"Aug 7, 2010",UFC 117,Welterweight
3273,Phil Davis,Rodney Wallace,Decision,"Aug 7, 2010",UFC 117,Light Heavyweight
3274,Johny Hendricks,Charlie Brenneman,TKO,"Aug 7, 2010",UFC 117,Welterweight
3275,Tim Boetsch,Todd Brown,Decision,"Aug 7, 2010",UFC 117,Light Heavyweight
3276,Stefan Struve,Christian Morecraft,KO,"Aug 7, 2010",UFC 117,Heavyweight
3277,Dennis Hallman,Ben Saunders,Decision,"Aug 7, 2010",UFC 117,Welterweight
3278,Jon Jones,Vladimir Matyushenko,TKO,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Light Heavyweight
3279,Yushin Okami,Mark Muñoz,Decision,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Middleweight
3280,Jake Ellenberger,John Howard,TKO,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Welterweight
3281,Takanori Gomi,Tyson Griffin,KO,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Lightweight
3282,Jacob Volkmann,Paul Kelly,Decision,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Lightweight
3283,Matthew Riddle,DaMarques Johnson,TKO,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Catchweight
3284,Igor Pokrajac,James Irvin,Submission,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Light Heavyweight
3285,Brian Stann,Mike Massenzio,Submission,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Middleweight
3286,Charles Oliveira,Darren Elkins,Submission,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Lightweight
3287,Rob Kimmons,Steve Steinbeiss,Decision,"Aug 1, 2010",UFC Live: Jones vs. Matyushenko,Middleweight
3288,Brock Lesnar (c),Shane Carwin (ic),Submission,"Jul 3, 2010",UFC 116,Heavyweight
3289,Chris Leben,Yoshihiro Akiyama,Submission,"Jul 3, 2010",UFC 116,Middleweight
3290,Chris Lytle,Matt Brown,Submission,"Jul 3, 2010",UFC 116,Welterweight
3291,Stephan Bonnar,Krzysztof Soszynski,TKO,"Jul 3, 2010",UFC 116,Light Heavyweight
3292,George Sotiropoulos,Kurt Pellegrino,Decision,"Jul 3, 2010",UFC 116,Lightweight
3293,Brendan Schaub,Chris Tuchscherer,TKO,"Jul 3, 2010",UFC 116,Heavyweight
3294,Ricardo Romero,Seth Petruzelli,Submission,"Jul 3, 2010",UFC 116,Light Heavyweight
3295,Kendall Grove,Goran Reljic,Decision,"Jul 3, 2010",UFC 116,Middleweight
3296,Gerald Harris,David Branch,KO,"Jul 3, 2010",UFC 116,Middleweight
3297,Daniel Roberts,Forrest Petz,Decision,"Jul 3, 2010",UFC 116,Welterweight
3298,Jon Madsen,Karlos Vemola,Decision,"Jul 3, 2010",UFC 116,Heavyweight
3299,Court McGee,Kris McCray,Submission,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3300,Matt Hamill,Keith Jardine,Decision,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Light Heavyweight
3301,Chris Leben,Aaron Simpson,TKO,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3302,Dennis Siver,Spencer Fisher,Decision,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Lightweight
3303,Rich Attonito,Jamie Yager,TKO,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3304,John Gunderson,Mark Holst,Decision,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Lightweight
3305,Brad Tavares,Seth Baczynski,Decision,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3306,Kyle Noke,Josh Bryant,TKO,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3307,Chris Camozzi,James Hammortree,Decision,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Middleweight
3308,Travis Browne,James McSweeney,TKO,"Jun 19, 2010",The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Heavyweight
3309,Rich Franklin,Chuck Liddell,KO,"Jun 12, 2010",UFC 115,Light Heavyweight
3310,Mirko Cro Cop,Pat Barry,Submission,"Jun 12, 2010",UFC 115,Heavyweight
3311,Martin Kampmann,Paulo Thiago,Decision,"Jun 12, 2010",UFC 115,Welterweight
3312,Ben Rothwell,Gilbert Yvel,Decision,"Jun 12, 2010",UFC 115,Heavyweight
3313,Carlos Condit,Rory MacDonald,TKO,"Jun 12, 2010",UFC 115,Welterweight
3314,Evan Dunham,Tyson Griffin,Decision,"Jun 12, 2010",UFC 115,Lightweight
3315,Matt Wiman,Mac Danzig,Technical Submission,"Jun 12, 2010",UFC 115,Lightweight
3316,Mario Miranda,David Loiseau,TKO,"Jun 12, 2010",UFC 115,Middleweight
3317,James Wilks,Peter Sobotta,Decision,"Jun 12, 2010",UFC 115,Welterweight
3318,Claude Patrick,Ricardo Funch,Submission,"Jun 12, 2010",UFC 115,Welterweight
3319,Mike Pyle,Jesse Lennox,Submission,"Jun 12, 2010",UFC 115,Welterweight
3320,Rashad Evans,Quinton Jackson,Decision,"May 29, 2010",UFC 114,Light Heavyweight
3321,Michael Bisping,Dan Miller,Decision,"May 29, 2010",UFC 114,Middleweight
3322,Mike Russow,Todd Duffee,KO,"May 29, 2010",UFC 114,Heavyweight
3323,Antônio Rogério Nogueira,Jason Brilz,Decision,"May 29, 2010",UFC 114,Light Heavyweight
3324,John Hathaway,Diego Sanchez,Decision,"May 29, 2010",UFC 114,Welterweight
3325,Dong Hyun Kim,Amir Sadollah,Decision,"May 29, 2010",UFC 114,Welterweight
3326,Efrain Escudero,Dan Lauzon,Decision,"May 29, 2010",UFC 114,Lightweight
3327,Melvin Guillard,Waylon Lowe,TKO,"May 29, 2010",UFC 114,Lightweight
3328,Cyrille Diabaté,Luiz Cane,TKO,"May 29, 2010",UFC 114,Light Heavyweight
3329,Aaron Riley,Joe Brammer,Decision,"May 29, 2010",UFC 114,Lightweight
3330,Ryan Jensen,Jesse Forbes,Submission,"May 29, 2010",UFC 114,Middleweight
3331,Maurício Rua,Lyoto Machida (c),KO,"May 8, 2010",UFC 113,Light Heavyweight
3332,Josh Koscheck,Paul Daley,Decision,"May 8, 2010",UFC 113,Welterweight
3333,Jeremy Stephens,Sam Stout,Decision,"May 8, 2010",UFC 113,Lightweight
3334,Matt Mitrione,Kimbo Slice,TKO,"May 8, 2010",UFC 113,Heavyweight
3335,Alan Belcher,Patrick Côté,Submission,"May 8, 2010",UFC 113,Middleweight
3336,Joe Doerksen,Tom Lawlor,Submission,"May 8, 2010",UFC 113,Middleweight
3337,Marcus Davis,Jonathan Goulet,TKO,"May 8, 2010",UFC 113,Welterweight
3338,Johny Hendricks,TJ Grant,Decision,"May 8, 2010",UFC 113,Welterweight
3339,Joey Beltran,Tim Hague,Decision,"May 8, 2010",UFC 113,Heavyweight
3340,Mike Guymon,Yoshiyuki Yoshida,Decision,"May 8, 2010",UFC 113,Welterweight
3341,John Salter,Jason MacDonald,TKO,"May 8, 2010",UFC 113,Middleweight
3342,Anderson Silva (c),Demian Maia,Decision,"Apr 10, 2010",UFC 112,Middleweight
3343,Frankie Edgar,B.J. Penn (c),Decision,"Apr 10, 2010",UFC 112,Lightweight
3344,Matt Hughes,Renzo Gracie,TKO,"Apr 10, 2010",UFC 112,Welterweight
3345,Rafael dos Anjos,Terry Etim,Submission,"Apr 10, 2010",UFC 112,Lightweight
3346,Mark Muñoz,Kendall Grove,TKO,"Apr 10, 2010",UFC 112,Middleweight
3347,Phil Davis,Alexander Gustafsson,Submission,"Apr 10, 2010",UFC 112,Light Heavyweight
3348,Rick Story,Nick Osipczak,Decision,"Apr 10, 2010",UFC 112,Welterweight
3349,DaMarques Johnson,Brad Blackburn,TKO,"Apr 10, 2010",UFC 112,Welterweight
3350,Paul Kelly,Matt Veach,Submission,"Apr 10, 2010",UFC 112,Lightweight
3351,Jon Madsen,Mostapha al-Turk,Decision,"Apr 10, 2010",UFC 112,Heavyweight
3352,Kenny Florian,Takanori Gomi,Submission,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3353,Roy Nelson,Stefan Struve,KO,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Heavyweight
3354,Jorge Rivera,Nate Quarry,TKO,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Middleweight
3355,Ross Pearson,Dennis Siver,Decision,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3356,Andre Winner,Rafaello Oliveira,Decision,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3357,Jacob Volkmann,Ronys Torres,Decision,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3358,Nik Lentz,Rob Emerson,Decision,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3359,Gleison Tibau,Caol Uno,TKO,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Lightweight
3360,Yushin Okami,Lucio Linhares,TKO,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Middleweight
3361,Gerald Harris,Mario Miranda,TKO,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Middleweight
3362,Charlie Brenneman,Jason High,Decision,"Mar 31, 2010",UFC Fight Night: Florian vs. Gomi,Welterweight
3363,Georges St-Pierre (c),Dan Hardy,Decision,"Mar 27, 2010",UFC 111,Welterweight
3364,Shane Carwin,Frank Mir,KO,"Mar 27, 2010",UFC 111,Heavyweight
3365,Kurt Pellegrino,Fabricio Camoes,Submission,"Mar 27, 2010",UFC 111,Lightweight
3366,Jon Fitch,Ben Saunders,Decision,"Mar 27, 2010",UFC 111,Welterweight
3367,Jim Miller,Mark Bocek,Decision,"Mar 27, 2010",UFC 111,Lightweight
3368,Nate Diaz,Rory Markham,TKO,"Mar 27, 2010",UFC 111,Catchweight
3369,Ricardo Almeida,Matt Brown,Submission,"Mar 27, 2010",UFC 111,Welterweight
3370,Rousimar Palhares,Tomasz Drwal,Submission,"Mar 27, 2010",UFC 111,Middleweight
3371,Jared Hamman,Rodney Wallace,Decision,"Mar 27, 2010",UFC 111,Light Heavyweight
3372,Matthew Riddle,Greg Soto,Disqualification,"Mar 27, 2010",UFC 111,Welterweight
3373,Jon Jones,Brandon Vera,TKO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Light Heavyweight
3374,Junior dos Santos,Gabriel Gonzaga,KO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Heavyweight
3375,Cheick Kongo,Paul Buentello,Submission,"Mar 21, 2010",UFC Live: Vera vs. Jones,Heavyweight
3376,Alessio Sakara,James Irvin,TKO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Middleweight
3377,Clay Guida,Shannon Gugerty,Submission,"Mar 21, 2010",UFC Live: Vera vs. Jones,Lightweight
3378,Vladimir Matyushenko,Eliot Marshall,Decision,"Mar 21, 2010",UFC Live: Vera vs. Jones,Light Heavyweight
3379,Darren Elkins,Duane Ludwig,TKO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Lightweight
3380,John Howard,Daniel Roberts,KO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Welterweight
3381,Brendan Schaub,Chase Gormley,TKO,"Mar 21, 2010",UFC Live: Vera vs. Jones,Heavyweight
3382,Mike Pierce,Julio Paulino,Decision,"Mar 21, 2010",UFC Live: Vera vs. Jones,Welterweight
3383,Jason Brilz,Eric Schafer,Decision,"Mar 21, 2010",UFC Live: Vera vs. Jones,Light Heavyweight
3384,Cain Velasquez,Antônio Rodrigo Nogueira,KO,"Feb 21, 2010",UFC 110,Heavyweight
3385,Wanderlei Silva,Michael Bisping,Decision,"Feb 21, 2010",UFC 110,Middleweight
3386,George Sotiropoulos,Joe Stevenson,Decision,"Feb 21, 2010",UFC 110,Lightweight
3387,Ryan Bader,Keith Jardine,KO,"Feb 21, 2010",UFC 110,Light Heavyweight
3388,Mirko Cro Cop,Anthony Perosh,TKO,"Feb 21, 2010",UFC 110,Heavyweight
3389,Krzysztof Soszynski,Stephan Bonnar,TKO,"Feb 21, 2010",UFC 110,Light Heavyweight
3390,Chris Lytle,Brian Foster,Submission,"Feb 21, 2010",UFC 110,Welterweight
3391,C.B. Dollaway,Goran Reljic,Decision,"Feb 21, 2010",UFC 110,Middleweight
3392,James Te Huna,Igor Pokrajac,TKO,"Feb 21, 2010",UFC 110,Light Heavyweight
