Name,Record,Height,Weight
Julian Marquez,7-2-0,187,185
Anderson Silva,"34-8-0, 1NC",187,185
Justin Sumter,6-1-0,187,185
Chris Weidman,14-3-0,187,185
Tim Williams,15-4-0,187,185
Jonathan Wilson,7-3-0,187,185
Tom Breese,11-1-0,190,185
Magnus Cedenblad,14-5-0,190,185
Kevin Holland,13-3-0,190,185
Ryan Janes,10-3-0,190,185
Antonio Braga Neto,"9-3-0, 1NC",190,185
Chibwikem Onyenege...,6-0-0,190,185
Jamie Pickett,7-2-0,190,185
Luke Rockhold,16-4-0,190,185
Trevor Smith,15-8-0,190,185
Alberto Uda,9-2-0,190,185
Rob Wilkinson,11-2-0,190,185
Israel Adesanya,14-0-0,193,185
James Bochnovic,8-3-0,193,185
Alex Nicholson,7-4-0,193,185
Oscar Cota,"10-1-0, 1NC",187,205
Ilir Latifi,"15-5-0, 1NC",177,205
Gadzhimurad Antigu...,20-4-0,180,205
Steve Bosse,12-2-0,180,205
Jared Cannonier,10-4-0,180,205
Bojan Mihajlovic,10-5-0,180,205
Azamat Murzakanov,7-0-0,180,205
Dashawn Boatwright,3-1-0,182,205
Devin Clark,9-2-0,182,205
Rashad Evans,24-8-1,182,205
Jamelle Jones,7-5-0,182,205
Jeremy Kimball,15-8-0,182,205
Tom Lawlor,"10-6-0, 1NC",182,205
Michal Oleksiejczuk,13-2-0,182,205
Igor Pokrajac,"25-13-0, 1NC",182,205
Gokhan Saki,1-2-0,182,205
Dennis Bryant,5-1-0,185,205
Ion Cutelaba,"13-3-0, 1NC",185,205
Marcos Rogerio De ...,15-6-1,185,205
Abdul-Kerim Edilov,16-4-0,185,205
Marcel Fortuna,9-3-0,185,205
Ed Herman,"24-13-0, 1NC",185,205
Daniel Jolly,5-3-0,185,205
Jimi Manuwa,17-3-0,185,205
Alonzo Menifield,7-0-0,185,205
Cameron Olson,"8-3-0, 1NC",185,205
Khalil Rountree Jr.,"8-2-0, 1NC",185,205
Mauricio Rua,25-11-0,185,205
Saparbek Safarov,8-2-0,185,205
Sam Alvey,"33-10-0, 1NC",187,205
Magomed Ankalaev,9-0-0,187,205
Anton Berzin,5-2-0,187,205
Jan Blachowicz,21-7-0,187,205
Jim Crute,8-0-0,187,205
Patrick Cummins,10-4-0,187,205
Jordan Johnson,9-0-0,187,205
Antonio Rogerio No...,22-7-0,187,205
Volkan Oezdemir,15-2-0,187,205
Emiliano Sordi,16-6-0,187,205
Joshua Stansbury,8-5-0,187,205
Glover Teixeira,27-7-0,187,205
Corey Anderson,12-4-0,190,205
Chris Birchler,7-4-0,190,205
Joachim Christensen,14-6-0,190,205
Misha Cirkunov,13-4-0,190,205
Jake Collier,11-4-0,190,205
Henrique da Silva,12-4-0,190,205
Adam Milstead,"8-2-0, 1NC",190,205
Tyson Pedro,7-1-0,190,205
Marcin Prachnio,13-3-0,190,205
Karl Reed,2-1-0,190,205
Nick Roehrick,7-1-0,190,205
Ovince Saint Preux,22-11-0,190,205
Gian Villante,16-10-0,190,205
Paul Craig,9-2-0,193,205
Jon Jones,23-1-0,193,205
Dominick Reyes,9-0-0,193,205
Mike Rodriguez,9-3-0,193,205
Anthony Smith,30-13-0,193,205
Alexander Gustafss...,18-4-0,195,205
Kennedy Nzechukwu,3-0-0,195,205
Aleksandar Rakic,9-1-0,195,205
Ryan Spann,10-5-0,195,205
Daniel Spohn,16-5-0,193,205
Angel De Anda,18-6-0,175,205
Greg Rebello,24-8-0,182,265
Fabricio Werdum,23-7-1,193,265
Daniel Cormier,"21-1-0, 1NC",180,265
Tebaris Gordon,3-0-0,185,265
Shamil Abdurakhimov,18-4-0,190,265
Junior Dos Santos,19-5-0,193,265
Zu Anyanwu,14-5-0,185,265
Cain Velasquez,14-2-0,185,265
Mark Godbeer,13-3-0,187,265
