,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
1451,Cortney,Casey,Cast Iron,"5' 7""",115 lbs.,"67.0""",Orthodox,7,6,0,13,115,170.18
1452,Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0,13,155,170.18
1453,Tito,Jones,,"5' 8""",145 lbs.,--,Southpaw,7,6,0,13,145,172.72
1454,Dave,Terrel,The Bionic,"5' 8""",170 lbs.,--,Southpaw,7,6,0,13,170,172.72
1455,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,7,6,0,13,170,182.88
1456,Satoshi,Honma,,"6' 1""",205 lbs.,--,Orthodox,4,6,3,13,205,185.42
1457,Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,13,185,187.96
1458,Isaiah,Hill,,"5' 10""",155 lbs.,--,,5,7,1,13,155,177.8
1459,Takahiro,Oba,,"5' 8""",200 lbs.,--,Southpaw,5,7,1,13,200,172.72
1460,Charon,Spain,,"5' 9""",155 lbs.,--,,6,7,0,13,155,175.26
1461,Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5,7,1,13,185,182.88
1462,Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,6,7,0,13,265,182.88
1463,Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,13,265,187.96
